time_stamp, c_x, c_y, c_z, v1_x, v1_y, v1_z, ..., c_xx, c_yy, c_zz
1585296679.654770000, 0.646637, 4.15061, 0.0489744, 1.15829, 4.13936, -0.264208, 0.661856, 4.14569, 0.648761, 0.119763, 4.16678, -0.23763, 0.65098, 4.31385, 0.0502035
1585296679.754847000, 0.498672, 4.17139, 0.0578738, 1.01977, 4.18032, -0.239401, 0.495608, 4.16596, 0.657841, -0.0193675, 4.1679, -0.244819, 0.496713, 4.33467, 0.0593435
1585296679.854969000, 0.349248, 4.17884, 0.074321, 0.868433, 4.20325, -0.225431, 0.349249, 4.17227, 0.674285, -0.169938, 4.16099, -0.225891, 0.342607, 4.34199, 0.0761072
1585296679.955033000, 0.220573, 4.18192, 0.0847622, 0.738376, 4.21793, -0.216209, 0.222072, 4.1763, 0.684734, -0.298728, 4.15152, -0.214239, 0.210141, 4.34487, 0.0863126
1585296680.055143000, 0.109705, 4.18253, 0.0899426, 0.624603, 4.22997, -0.21441, 0.11539, 4.17543, 0.689874, -0.410878, 4.1422, -0.205636, 0.095932, 4.34524, 0.0919989
1585296680.155187000, 0.0161492, 4.18169, 0.0920211, 0.527787, 4.2373, -0.216416, 0.026635, 4.17557, 0.691898, -0.505974, 4.13219, -0.199419, -0.000337495, 4.34414, 0.0939663
1585296680.255256000, -0.0612351, 4.17907, 0.0942606, 0.450343, 4.2377, -0.213718, -0.0519335, 4.17918, 0.694188, -0.582115, 4.12034, -0.197689, -0.0796754, 4.34133, 0.0945178
1585296680.355367000, -0.119362, 4.17732, 0.0967621, 0.391516, 4.2431, -0.210933, -0.110381, 4.17744, 0.696695, -0.639222, 4.11142, -0.195476, -0.140052, 4.3393, 0.0970403
1585296680.455472000, -0.178081, 4.17843, 0.0960761, 0.33049, 4.24963, -0.214223, -0.166194, 4.17979, 0.695957, -0.698539, 4.10585, -0.193505, -0.200675, 4.34015, 0.0961551
1585296680.555555000, -0.231857, 4.17782, 0.0991467, 0.27515, 4.25673, -0.211847, -0.219057, 4.17863, 0.69901, -0.751664, 4.0981, -0.189723, -0.256783, 4.3392, 0.0994605
1585296680.655670000, -0.268369, 4.17563, 0.10271, 0.223699, 4.25444, -0.231443, -0.228667, 4.18203, 0.70136, -0.80014, 4.09042, -0.161789, -0.294201, 4.33687, 0.102699
1585296680.755732000, -0.292329, 4.17548, 0.106317, 0.19047, 4.25539, -0.240842, -0.236944, 4.18357, 0.7037, -0.830513, 4.08747, -0.143908, -0.318805, 4.33662, 0.106588
1585296680.855836000, -0.307259, 4.17619, 0.110504, 0.171306, 4.25681, -0.242308, -0.245032, 4.18539, 0.707198, -0.848051, 4.08638, -0.133377, -0.334154, 4.33726, 0.110827
1585296680.955965000, -0.321222, 4.17604, 0.123708, 0.160992, 4.25976, -0.223364, -0.26634, 4.18647, 0.721101, -0.858319, 4.08188, -0.126615, -0.349317, 4.3369, 0.12348
1585296681.056000000, -0.340976, 4.17472, 0.138389, 0.153086, 4.26432, -0.190054, -0.308177, 4.18092, 0.737459, -0.867836, 4.07891, -0.13224, -0.370159, 4.33539, 0.138324
1585296681.156083000, -0.356292, 4.17391, 0.147087, 0.147358, 4.26723, -0.165366, -0.342264, 4.17767, 0.746911, -0.873972, 4.07683, -0.140284, -0.386228, 4.33444, 0.14678
1585296681.256146000, -0.370694, 4.1727, 0.152666, 0.134622, 4.26834, -0.156378, -0.359787, 4.17149, 0.752565, -0.886918, 4.07828, -0.13819, -0.400549, 4.33325, 0.153534
